,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,Prediction,TF-IDF Score
46,1312761992206118912,1312761992206118912,Pᴜᴛ✿ | ia,aestberry,1397590167737696263,1397590167737696263,voguemagazin take insid arianagrand dalton gomez intim athom wed ceremoni share exclus with vogu htt…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 967)	0.3651473069673102
  (0, 829)	0.5221838710377531
  (0, 747)	0.7707084072738198"
47,3268540705,3268540705,Chief Wolfhound,DeMelaatse,1397590167754444804,1397590167754444804,what’ common denomin,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 952)	1.0"
48,976474205834244097,976474205834244097,Cloudee,Mr_Cloudee,1397590167825702914,1397590167825702914,insomnicsi siyeon show glowindark nail chao ensu back watch replay 🥴 드림캐쳐 드림캐쳐마인드 dreamcatche…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 936)	0.5960656045184449
  (0, 757)	0.6124331069278135
  (0, 51)	0.5192605171287398"
49,1103615512926408704,1103615512926408704,Rosa 🌹,Rosa60044194,1397590167729414146,1397590167729414146,brianjnix pippacrerar cannot dismiss lot dc said johnson known liar carri symmond known want variou ppl govt previou commun person tori pay insid johnson ‘i shook hand with lot ppl’ show didn’t take serious,2021-05-26 16:27:16,3349166973,3349166973,Brianjnix2,0,0,Null,0,"  (0, 967)	0.14465403318862644
  (0, 932)	0.18060713151935448
  (0, 829)	0.20686446694353666
  (0, 757)	0.23337022543658328
  (0, 742)	0.2989559192297925
  (0, 661)	0.564761531330029
  (0, 638)	0.2611557557500114
  (0, 633)	0.23751952930363102
  (0, 512)	0.49891703748013977
  (0, 368)	0.2594906745140422"
50,1066847871373328385,1066847871373328385,Cat,CatTheSpade,1397590167796391944,1397590167796391944,aldeerab didn’t say food babi 🤔,2021-05-26 16:27:16,1207380930417102849,1207380930417102849,Aldeerab,0,0,Null,0,"  (0, 724)	0.4490061230776956
  (0, 300)	0.6796709688555903
  (0, 50)	0.5800352364586489"
51,1079822685108981760,1079822685108981760,gaada nama,jisunginmahouse,1397590167876104197,1397590167876104197,ltypj jisung best boy you dancer beauti smile beauti voic love u much jisungi 💖💖…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 995)	0.2395304265953904
  (0, 925)	0.3307016575715404
  (0, 780)	0.35138892570722385
  (0, 567)	0.2678440774299288
  (0, 514)	0.213527522978273
  (0, 101)	0.2614193738556303
  (0, 73)	0.2793243463973491
  (0, 66)	0.6679002761669487"
52,1348997502880477187,1348997502880477187,larda.EXO,ExoLarda,1397590167876112385,1397590167876112385,exoxpo 🎧exol request hour 🎧 play exo weareoneexo favorit amp request song stream with spotifi d…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 967)	0.255285629162852
  (0, 790)	0.4409936601560779
  (0, 650)	0.37402620013008336
  (0, 405)	0.5225938971728348
  (0, 278)	0.4777753648550687
  (0, 22)	0.3147770008063453"
53,2156802492,2156802492,Michael Gallad,MichaelGallad,1397590167418916865,1397590167418916865,welcom sierra barn illumina work commerci develop group help us improv genom canada genom canada httpstcotinoqvwr,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 975)	0.4255479889913712
  (0, 947)	0.57513207292251
  (0, 921)	0.4460436713567405
  (0, 384)	0.5377518489078922"
54,957522483883601920,957522483883601920,𝐉𝐌𝐎𝐃𝐄 ً⁷🧈,palletchims,1397590167796424706,1397590167796424706,cooiskuii almost k listen tri join guy seem work listeningbutterpay httpstcodghgfdug httpstcoc…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 975)	0.3670033462823001
  (0, 896)	0.3419142692614117
  (0, 735)	0.45627212036978987
  (0, 496)	0.43895716011121017
  (0, 360)	0.36593209109966707
  (0, 15)	0.4622004378587403"
55,1005330604009783296,1005330604009783296,ngahl,xtine_mhae,1397590167775440897,1397590167775440897,arianaworldhq mr gomez httpstcowojjrykih,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 566)	1.0"
